

gen best mean std
0 38.613817 -4.92589 6.887651
1 38.613817 -2.370434 8.406264
2 41.261711 -0.893651 10.282972
3 41.261711 1.934439 11.268198
4 44.302551 3.279469 12.444929
5 48.172183 5.364999 13.281881
6 48.172183 7.713711 13.798235
7 48.172183 12.128895 15.11038
8 48.172183 14.133029 14.910813
9 48.172183 15.895567 14.339909
10 52.123579 18.670603 14.35836
11 52.123579 20.466188 13.665027
12 52.123579 21.744379 13.558451
13 54.685491 23.871634 13.374837
14 54.685491 24.221985 13.160515
15 54.685491 25.426444 13.110904
16 59.913177 27.183414 13.076943
17 59.913177 28.01764 12.738019
18 62.639564 29.281098 12.562303
19 67.01295 30.004923 12.805451
20 67.01295 31.056091 12.290887
21 67.01295 31.696946 12.358696
22 67.01295 32.78223 12.71669
23 67.01295 33.49717 12.627978
24 67.01295 34.378368 12.425788
25 67.01295 35.507361 12.674372
26 67.185433 36.108951 13.134928
27 67.185433 36.971693 12.852776
28 67.185433 38.111308 12.492146
29 67.185433 38.358537 12.35422
