gen          best        mean
0       45.982218   -4.053007
1       40.649007   -4.287031
2       41.575182   -3.547917
3       39.756661   -2.717283
4       24.182259   -3.362809
5       51.819209   -2.068287
6       41.334001   -3.136873
7       42.432867   -3.837136
8       34.293896   -3.621110
9       41.359950   -2.881365
10      33.563160   -4.025595
11      24.182402   -3.020349
12      24.182259   -3.368826
13      38.567616   -2.803255
14      24.182259   -2.456342
15      42.354540   -1.804882
16      34.685953   -2.418559
17      46.622124   -3.937580
18      24.182259   -3.777249
19      33.307307   -3.406685
20      51.697262   -2.923773
21      24.179731   -3.213786
22      38.611867   -3.526237
23      41.178475   -3.087926
24      46.379091   -2.876046
25      37.420369   -3.539391
26      47.871781   -4.628623
27      24.484213   -3.535644
28      58.433518   -3.170064
29      31.417947   -3.690165
