gen          best        mean
0       55.492039   -2.780853
1       26.622920   -2.971322
2       16.452749   -4.172112
3       26.622920   -4.427429
4       67.975693   -2.164936
5        9.879639   -4.322201
6       16.860588   -4.772422
7       29.271081   -4.243884
8       25.290615   -4.122980
9       23.797874   -3.353021
10      48.400296   -3.244244
11      21.735585   -3.598293
12      25.357579   -3.582635
13      12.722053   -4.054633
14      20.658768   -2.663689
15      44.525247   -4.110313
16      42.877417   -3.248386
17      11.113531   -3.874794
18      41.712784   -3.944354
19      48.218338   -4.016552
20      19.905562   -4.736298
21      35.491780   -3.647318
22      19.344168   -4.310845
23      20.014352   -3.697551
24      18.677842   -3.896977
25      41.285213   -3.718622
26      46.079932   -4.342754
27      16.724021   -4.074955
28      24.307053   -3.897735
29      29.036082   -3.491582
