
gen          best        mean
0       38.565937   -3.624074
1       47.956447   -3.098615
2       24.182259   -1.748935
3       23.085719   -3.140281
4       57.084621   -3.063123
5       29.736785   -4.314272
6       28.165037   -4.594088
7       42.337024   -3.422507
8       44.414749   -3.293429
9       26.050310   -3.726389
10      48.130911   -2.928254
11      30.262013   -3.172912
12      37.785141   -2.947193
13      45.186822   -2.964006
14      32.279825   -2.881082
15      48.384513   -1.889224
16      46.431245   -3.683147
17      34.137130   -2.943963
18      48.030899   -1.685644
19      15.145316   -5.366518
20      44.504183   -3.291222
21      41.357393   -4.353049
22      15.425340   -5.320397
23      56.982909   -3.288006
24      43.574945   -2.616623
25      24.180943   -4.612995
26      20.025712   -4.133730
27      46.280088   -2.375544
28      49.774605   -2.185954
29      47.555481   -2.308501
