gen          best        mean
0       31.208358   -4.202371
1       35.409267   -4.344349
2       41.931902   -3.326385
3       31.420803   -3.591020
4       27.687516   -3.700112
5       74.333429   -1.866275
6       14.754639   -4.486909
7       34.073256   -2.884234
8       27.235422   -3.543217
9       42.239158   -2.703413
10      24.903311   -4.470549
11      42.073622   -1.862542
12      53.431157   -2.674952
13      30.332410   -2.897177
14      63.187943   -3.337122
15      34.360498   -2.909788
16      51.872660   -2.220397
17      25.727609   -4.067685
18      36.776191   -3.531407
19      41.683646   -2.792511
20      36.462413   -3.545564
21      29.398776   -2.919021
22      37.073338   -3.878076
23      24.182259   -5.135115
24      24.411100   -3.558574
25      46.620270   -2.003432
26      37.112969   -2.847909
27      35.667806   -4.436597
28      24.222352   -4.091696
29      37.458556   -4.259841
